因子表,数据库表,因子表类型
香港交易所交易日历,HKEXCalendar,交易日历
中国A股交易日历,AShareCalendar,交易日历
中国A股基本资料,AShareDescription,证券特征
A股员工构成,AShareStaffStructure,行情数据
A股员工人数变更,AShareStaff,行情数据
中国A股特别处理,AShareST,映射信息
中国A股分红,AShareDividend,行情数据
中国A股配股,AShareRightIssue,行情数据
中国A股除权除息记录,AShareEXRightDividendRecord,行情数据
中国A股股本,AShareCapitalization,行情数据
中国A股自由流通股本,AShareFreeFloat,行情数据
中国A股Wind行业分类,AShareIndustriesClass,行业信息
中国A股证监会行业分类,AShareSECIndustriesClass,行业信息
中国A股证监会新行业分类,AShareSECNIndustriesClass,行业信息
中国A股中信行业分类,AShareIndustriesClassCITICS,行业信息
申万行业分类,AShareSWIndustriesClass,行业信息
中信标普GICS行业分类,AShareGICSIndustriesClass,行业信息
中国A股Level2指标,AShareL2Indicators,行情数据
中国A股日行情,AShareEODPrices,行情数据
中国A股日行情估值指标,AShareEODDerivativeIndicator,行情数据
中国A股停复牌信息,AShareTradingSuspension,行情数据
中国A股融资融券交易明细,AShareMarginTrade,行情数据
中国A股月收益率,AShareMonthlyYield,行情数据
中国A股周收益率,AShareWeeklyYield,行情数据
中国A股资金流向数据,AShareMoneyflow,行情数据
中国A股资产负债表,AShareBalanceSheet,财务数据
中国A股利润表,AShareIncome,财务数据
中国A股现金流量表,AShareCashFlow,财务数据
中国A股财务指标,AShareFinancialIndicator,财务数据
中国A股TTM指标历史数据,AShareTTMHis,财务数据
中国A股银行专用指标,AShareBankIndicator,财务数据
中国A股保险专用指标,AShareInsuranceIndicator,财务数据
中国A股券商专用指标,AShareIBrokerIndicator,财务数据
中国A股盈利预测汇总,AShareConsensusData,分析师一致预期
中国A股盈利预测明细,AShareEarningEst,分析师预测明细
中国A股投资评级汇总,AShareStockRatingConsus,行情数据
中国A股投资评级明细,AShareStockRating,分析师评级明细
中国A股指数基本资料,AIndexDescription,证券特征
中国A股万得指数成份股,AIndexMembersWIND,成份信息
中国A股指数成份股,AIndexMembers,成份信息
中国A股中信指数成份股,AIndexMembersCITICS,成份信息
中国A股中信指数成份股二级,AIndexMembersCITICS2,成份信息
中国A股中信指数成份股三级,AIndexMembersCITICS3,成份信息
中国A股中证行业成分明细,AShareCSIndustriesClass,成份信息
沪深300免费指数权重,AIndexHS300FreeWeight,行情数据
中国A股Wind行业指数日行情,AIndexWindIndustriesEOD,行情数据
中国A股指数日行情,AIndexEODPrices,行情数据
中国A股中信行业指数日行情,AIndexIndustriesEODCITICS,行情数据
中国共同基金基本资料,ChinaMutualFundDescription,证券特征
中国LOF基本资料,LOFDescription,证券特征
中国共同基金分红,ChinaMFDividend,行情数据
中国ETF申购赎回成份,ChinaETFPchRedmMembers,行情数据
中国ETF申购赎回清单,ChinaETFPchRedmList,行情数据
中国封闭式基金日行情,ChinaClosedFundEODPrice,行情数据
中国共同基金IOPV净值,CMFIOPVNAV,行情数据
中国共同基金被动型基金跟踪指数,ChinaMutualFundTrackingIndex,映射信息
中国共同基金业绩比较基准行情,ChinaMutualFundBenchmarkEOD,行情数据
中国期货交易日历,CFuturesCalendar,交易日历
中国期货基本资料,CFuturesDescription,证券特征
中国期货标准合约属性,CFuturesContPro,证券特征
中国期货连续(主力)合约和月合约映射表,CfuturesContractMapping,映射信息
中国股指期货日行情,CIndexFuturesEODPrices,行情数据
中国国债期货交易日行情,CBondFuturesEODPrices,行情数据
中国国债期货标的券,CBondFSubjectcvf,行情数据
中国国债期货最便宜可交割券,CBondFCTD,行情数据
中国国债期货可交割券衍生指标,CBondFValuation,行情数据
中国国债期货可交割券第三方估值,CBondFThirdPartyValuation,行情数据
中国债券市场交易日,CBondCalendar,交易日历
中国债券基本资料,CBondDescription,证券特征
中国债券行情-全价,CBondPrices,行情数据
中国债券行情-净价,CBondPricesNet,行情数据
中国债券应计利息,CBondAccruedInterest,行情数据
中国债券现金流,CBondCF,映射信息
中国债券交易所债券行情,CBondEODPrices,行情数据
中国债券衍生指标,CBondValuation,行情数据
中国债券付息和兑付,CBondPayment,行情数据
中国债券指数基本资料,CBIndexDescription,证券特征
中国债券指数日行情,CBIndexEODPrices,行情数据
中国债券指数成分,CBIndexMembers,成份信息
中国债券指数权重,CBIndexWeight,行情数据
中国债券回购基本资料,CBondPRepoDescription,证券特征
中国债券回购标准券折算率,CBondConversionRatio,映射信息
中国国债基准收益率,CGBbenchmark,行情数据
货币市场日行情,CBondIBRMBMonDMarQuotation,行情数据
Shibor行情,ShiborPrices,行情数据
Libor行情,LiborPrices,行情数据
HiBor行情,HiborPrices,行情数据
